SMILES,pIC50
O=C(N(C/1C2=C(C)C=C(C)C=C2)C3=CC(NC=N4)=C4C=C3)NC1=N/C(C)(C)CC(C)(C)C,5.89
O=C(N(C/1C2=COC3=C(C=C(C)C=C3)C2=O)C4=CC(N=CN5)=C5C=C4)NC1=N/CCCN6CCOCC6,5.89
S=C(N(C/1C2=C(C=CC=C3)C3=NC=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CC(N6CCC(O)CC6)=O,5.89
O=C(N(C/1C2=CC3=NSN=C3C=C2)C4=CC(N=CN5)=C5C=C4)NC1=N\CN6C(C=CC=C7)=C7N=N6,6.4
S=C(N(C/1C2=CC=C(N(C)C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CN5C(C=CC=C6)=C6N=N5,5.89
S=C(N(C/1C2=CC=C3C(C=CN3)=C2)C4=CC(NC=N5)=C5C=C4)NC1=N/C6=C(Br)C=CC=C6,5.4
S=C(N(C/1C2=CC=CC=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C(C)C(OC)=O,5.12
S=C(N(C/1C2=CC(Br)=CS2)C3=CC(NC=N4)=C4C=C3)NC1=N/C5C(C=CC=C6)=C6CCC5,5.24
S=C(N(C/1C2=CC=C(C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N/C(C(OC)=O)C,5.24
O=C(N(C/1C2=CC=C(N(C)C)C=C2)C3=CC(N=CN4)=C4C=C3)NC1=N\CN5C(C=CC=C6)=C6N=N5,5.89
S=C(N(C/1C2CCC(C)=CC2C)C3=CC(N=CN4)=C4C=C3)NC1=N/C5=CC(OCCO6)=C6C=C5,5.03
O=C(N(C/1C2=CC(Br)=CC=C2)C3=CC(NC=N4)=C4C=C3)NC1=N/C5=CC(OCCO6)=C6C=C5,6.4
O=C1C(O)=C(F)C(CCCCC)N1CCCN2C=NC=C2,5.31
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CC=C(C)C=C3)N1CCCN4C=NC=C4,5.66
O=C1C(O)=C(C2=CC=CC(O)=C2)C(/C=C/CCC)N1CCCN3C=NC=C3,5.24
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CC=C(NC=C4)C4=C3)N1CCCN5C=NC=C5,5.89
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=C(O)C=CC=C3)N1CCCN4C=NC=C4,5.66
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CC=C(CO)O3)N1CCCN4C=NC=C4,5.24
O=C1C(O)=C(C2=CC=CC(O)=C2)C(C3=CNC4=C3C=CC=C4)N1CCCN5C=NC=C5,5.03
O=C1C(O)=C(C)C(C2=NNC=C2)N1CCCN3C=NC=C3,5.12
